Age,ConvertedCompYearly
18-24,43758.228942905596
25-34,60962.36706774353
35-44,76911.64181234392
45-54,87229.57823129251
55-64,100102.97487437187
< 18,39841.117647058825
>= 65,95988.61111111111
No definido,77170.66666666667
