index,counts
Desarrollador full-stack,981
Desarrollador front-end,539
Desarrollador móvil,380
Desarrollador back-end,302
Desarrollador Escritorio,262
Ingeniero de datos,142
Cientifico de datos,70
Manager de Ingeniería,48
Otro,36
Especialista en DevOps,32
